Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
336,Jaden Hardy,23,DAL,SG,34,4,428,10.8,.551,.639,.206,2.8,8.7,5.8,9.9,1.0,0.4,11.3,23.4,-0.1,0.3,0.2,.021,-2.0,-1.7,-3.7,-0.2,,hardyja02
336,Jaden Hardy,23,WAS,SG,1,0,15,18.4,.698,.714,.286,0.0,14.2,7.0,10.1,0.0,0.0,11.3,24.7,0.0,0.0,0.0,.111,5.6,-3.7,1.9,0.0,,hardyja02
337,Asa Newell,20,ATL,PF,39,1,442,13.6,.630,.463,.170,8.9,10.9,9.9,6.3,1.6,2.7,11.7,16.9,0.5,0.4,0.9,.093,-1.4,-0.8,-2.1,0.0,,newelas01
338,Julian Strawther,23,DEN,SG,32,4,441,12.1,.569,.445,.329,1.4,14.9,8.5,9.7,1.6,0.4,9.7,19.5,0.2,0.3,0.5,.060,-2.0,-1.3,-3.3,-0.2,,strawju01
339,Jonathan Isaac,28,ORL,PF,44,0,439,11.9,.522,.383,.532,8.2,19.9,13.9,5.1,1.9,5.1,12.1,12.7,0.1,0.7,0.8,.086,-2.7,1.2,-1.6,0.1,,isaacjo01
340,Jamaree Bouyea,26,PHO,PG,28,0,438,15.3,.576,.331,.140,3.2,10.6,6.8,17.1,2.1,2.4,9.7,17.8,0.6,0.5,1.1,.119,0.4,0.9,1.3,0.4,,bouyeja01
341,Trayce Jackson-Davis,25,2TM,C,38,1,436,16.7,.596,.009,.579,14.1,17.7,15.9,11.0,1.7,4.2,12.4,14.9,0.8,0.6,1.4,.154,-0.6,0.6,0.0,0.2,,jackstr02
341,Trayce Jackson-Davis,25,GSW,C,36,1,411,16.0,.601,.010,.510,12.5,17.6,15.0,11.1,1.5,4.2,12.6,14.7,0.7,0.6,1.2,.146,-1.0,0.7,-0.3,0.2,,jackstr02
341,Trayce Jackson-Davis,25,TOR,C,2,0,25,28.3,.532,.000,2.000,39.8,18.1,29.1,10.1,3.9,3.9,9.6,17.7,0.1,0.1,0.2,.290,5.4,-1.1,4.4,0.0,,jackstr02
342,Drew Eubanks,28,SAC,C,32,11,430,12.3,.613,.044,.377,6.8,15.3,10.9,3.0,1.3,4.0,15.8,15.6,0.1,0.2,0.3,.037,-3.4,-0.8,-4.2,-0.2,,eubandr01
343,Tony Bradley,28,IND,C,38,3,416,13.2,.604,.019,.406,14.1,13.6,13.8,7.0,0.7,1.5,12.0,14.5,0.7,0.3,0.9,.110,-2.4,-1.5,-3.9,-0.2,,bradlto01
344,Quenton Jackson,27,IND,PG,26,10,414,15.2,.612,.399,.439,3.8,9.9,6.8,19.0,2.1,1.0,14.5,21.1,0.5,0.3,0.8,.093,-0.2,0.5,0.3,0.2,,jacksqu01
345,Kristaps Porziņģis,30,ATL,C,17,12,413,20.5,.592,.410,.386,5.4,17.5,11.4,16.7,1.0,4.8,6.1,26.5,0.9,0.4,1.4,.161,2.6,0.7,3.2,0.6,,porzikr01
346,Thomas Bryant,28,CLE,C,39,0,408,17.5,.639,.524,.266,8.5,21.5,14.9,8.4,1.0,3.6,8.6,17.8,0.9,0.5,1.5,.171,0.7,-0.3,0.4,0.2,,bryanth01
347,Micah Potter,27,IND,C,22,3,408,14.0,.646,.655,.382,4.6,20.9,12.5,11.1,0.9,1.5,11.1,15.0,0.7,0.4,1.0,.123,-0.2,-0.2,-0.4,0.2,,pottemi01
348,Tyrese Proctor,21,CLE,PG,39,1,404,10.3,.528,.609,.160,1.6,9.5,5.5,17.7,1.8,0.0,12.6,21.2,0.0,0.3,0.4,.045,-2.9,-0.8,-3.7,-0.2,,proctty01
349,Rob Dillingham,21,2TM,PG,38,0,400,7.3,.423,.229,.159,2.2,11.9,7.1,23.6,3.0,0.7,19.1,23.6,-1.0,0.5,-0.5,-0.056,-7.2,-0.2,-7.5,-0.6,,dilliro01
349,Rob Dillingham,21,MIN,PG,35,0,326,6.1,.404,.234,.142,1.7,11.9,6.9,23.8,2.8,0.8,19.4,23.9,-0.9,0.4,-0.5,-0.074,-7.8,-0.3,-8.1,-0.5,,dilliro01
349,Rob Dillingham,21,CHI,PG,3,0,74,12.9,.514,.207,.241,4.4,11.5,8.0,22.9,3.8,0.0,17.9,22.3,0.0,0.1,0.0,.022,-4.6,0.0,-4.6,0.0,,dilliro01
350,Carter Bryant,20,SAS,PF,43,0,398,8.7,.478,.545,.154,5.2,17.5,11.5,4.7,1.1,2.0,7.8,17.5,-0.2,0.6,0.4,.042,-3.9,-0.7,-4.6,-0.3,,bryanca01
